2014-12-18 00:59:38,752 미세 reef.runtime.common.Launcher.main main | Launcher started with user name [puppybit]
2014-12-18 00:59:47,411 보다 미세 TaskNodeImpl.findTask SingleThreadStage<GroupCommMessageStage> | ENTRY CommunicationGroup:CtrlSyncBroadcast:(ControllerTask,0) -  CmpTask-0
2014-12-18 00:59:47,412 보다 미세 TaskNodeImpl.findChildTask SingleThreadStage<GroupCommMessageStage> | ENTRY CommunicationGroup:CtrlSyncBroadcast:(ControllerTask,0) -  CmpTask-0
2014-12-18 00:59:47,412 보다 미세 TaskNodeImpl.findChildTask SingleThreadStage<GroupCommMessageStage> | RETURN CommunicationGroup:CtrlSyncBroadcast:(ControllerTask,0) - (CmpTask-0,0)
2014-12-18 00:59:47,413 보다 미세 TaskNodeImpl.findTask SingleThreadStage<GroupCommMessageStage> | RETURN CommunicationGroup:CtrlSyncBroadcast:(ControllerTask,0) - (CmpTask-0,0)
2014-12-18 00:59:47,413 보다 미세 TaskNodeImpl.checkAndSendTopologySetupMessage SingleThreadStage<GroupCommMessageStage> | ENTRY CommunicationGroup:CtrlSyncBroadcast:(CmpTask-0,0) - 
2014-12-18 00:59:47,413 보다 미세 TaskNodeImpl.parentActive SingleThreadStage<GroupCommMessageStage> | ENTRY CommunicationGroup:CtrlSyncBroadcast:(CmpTask-0,0) - 
2014-12-18 00:59:47,414 보다 미세 TaskNodeImpl.isNeighborActive SingleThreadStage<GroupCommMessageStage> | ENTRY CommunicationGroup:CtrlSyncBroadcast:(CmpTask-0,0) -  ControllerTask
2014-12-18 00:59:47,414 보다 미세 TaskNodeStatusImpl.isActive SingleThreadStage<GroupCommMessageStage> | ENTRY CommunicationGroup:CtrlSyncBroadcast:(CmpTask-0,0) -  ControllerTask
2014-12-18 00:59:47,414 보다 미세 TaskNodeStatusImpl.isActive SingleThreadStage<GroupCommMessageStage> | RETURN CommunicationGroup:CtrlSyncBroadcast:(CmpTask-0,0) - false
2014-12-18 00:59:47,415 보다 미세 TaskNodeImpl.isNeighborActive SingleThreadStage<GroupCommMessageStage> | RETURN CommunicationGroup:CtrlSyncBroadcast:(CmpTask-0,0) - false
2014-12-18 00:59:47,415 보다 미세 TaskNodeImpl.parentActive SingleThreadStage<GroupCommMessageStage> | RETURN CommunicationGroup:CtrlSyncBroadcast:(CmpTask-0,0) - Neither root Nor is (ControllerTask,0) an active neghbor
2014-12-18 00:59:47,416 보다 미세 TaskNodeImpl.checkAndSendTopologySetupMessage SingleThreadStage<GroupCommMessageStage> | RETURN CommunicationGroup:CtrlSyncBroadcast:(CmpTask-0,0) - 
2014-12-18 00:59:47,416 보다 미세 TaskNodeImpl.checkAndSendTopologySetupMessageFor SingleThreadStage<GroupCommMessageStage> | RETURN CommunicationGroup:CtrlSyncBroadcast:(ControllerTask,0) - CmpTask-0
2014-12-18 00:59:47,416 보다 미세 TaskNodeStatusImpl.checkNeighborActiveToSendTopoSetup SingleThreadStage<GroupCommMessageStage> | RETURN CommunicationGroup:CtrlSyncBroadcast:(ControllerTask,0) - CmpTask-0
2014-12-18 00:59:47,416 보다 미세 TaskNodeStatusImpl.chkAndSendTopoSetup SingleThreadStage<GroupCommMessageStage> | ENTRY CommunicationGroup:CtrlSyncBroadcast:(ControllerTask,0) -  ChildAdd
2014-12-18 00:59:47,417 가장 미세 reef.io.network.nggroup.impl.driver.TaskNodeStatusImpl.chkIamActiveToSendTopoSetup SingleThreadStage<GroupCommMessageStage> | CommunicationGroup:CtrlSyncBroadcast:(ControllerTask,0) - Status map non-empty{ChildAdd={CmpTask-1=1}}
2014-12-18 00:59:47,417 보다 미세 TaskNodeStatusImpl.chkAndSendTopoSetup SingleThreadStage<GroupCommMessageStage> | RETURN CommunicationGroup:CtrlSyncBroadcast:(ControllerTask,0) - ChildAdd
2014-12-18 00:59:47,418 보다 미세 TaskNodeStatusImpl.processNeighborAcks SingleThreadStage<GroupCommMessageStage> | RETURN CommunicationGroup:CtrlSyncBroadcast:(ControllerTask,0) - [ChildAdded from (ControllerTask,0) to (CmpTask-0,0) for CommunicationGroup:CtrlSyncBroadcast]
2014-12-18 00:59:47,418 보다 미세 TaskNodeStatusImpl.processMsg SingleThreadStage<GroupCommMessageStage> | RETURN CommunicationGroup:CtrlSyncBroadcast:(ControllerTask,0) - 
2014-12-18 00:59:47,418 보다 미세 TaskNodeImpl.onReceiptOfAcknowledgement SingleThreadStage<GroupCommMessageStage> | RETURN CommunicationGroup:CtrlSyncBroadcast:(ControllerTask,0) - [ChildAdded from (ControllerTask,0) to (CmpTask-0,0) for CommunicationGroup:CtrlSyncBroadcast]
2014-12-18 00:59:47,418 보다 미세 TreeTopology.onReceiptOfMessage SingleThreadStage<GroupCommMessageStage> | RETURN CommunicationGroup:CtrlSyncBroadcast - [ChildAdded from (ControllerTask,0) to (CmpTask-0,0) for CommunicationGroup:CtrlSyncBroadcast]
2014-12-18 00:59:47,419 보다 미세 TreeTopology.onReceiptOfMessage SingleThreadStage<GroupCommMessageStage> | ENTRY CommunicationGroup:InitialTopoReduce -  [ChildAdded from (ControllerTask,0) to (CmpTask-0,0) for CommunicationGroup:InitialTopoReduce]
2014-12-18 00:59:47,419 보다 미세 TaskNodeImpl.onReceiptOfAcknowledgement SingleThreadStage<GroupCommMessageStage> | ENTRY CommunicationGroup:InitialTopoReduce:(ControllerTask,0) -  [ChildAdded from (ControllerTask,0) to (CmpTask-0,0) for CommunicationGroup:InitialTopoReduce]
2014-12-18 00:59:47,420 보다 미세 TaskNodeStatusImpl.processMsg SingleThreadStage<GroupCommMessageStage> | ENTRY CommunicationGroup:InitialTopoReduce:(ControllerTask,0) -  [ChildAdded from (ControllerTask,0) to (CmpTask-0,0) for CommunicationGroup:InitialTopoReduce]
2014-12-18 00:59:47,420 보다 미세 TaskNodeStatusImpl.processNeighborAcks SingleThreadStage<GroupCommMessageStage> | ENTRY CommunicationGroup:InitialTopoReduce:(ControllerTask,0) - [ChildAdded from (ControllerTask,0) to (CmpTask-0,0) for CommunicationGroup:InitialTopoReduce]
2014-12-18 00:59:47,420 보다 미세 TaskNodeStatusImpl.updateNeighborStatus SingleThreadStage<GroupCommMessageStage> | ENTRY CommunicationGroup:InitialTopoReduce:(ControllerTask,0) -  ChildAdd CmpTask-0
2014-12-18 00:59:47,420 보다 미세 TaskNodeStatusImpl.updateNeighborStatus SingleThreadStage<GroupCommMessageStage> | RETURN [Ljava.lang.Object;@161a8d36
2014-12-18 00:59:47,421 보다 미세 TaskNodeStatusImpl.checkNeighborActiveToSendTopoSetup SingleThreadStage<GroupCommMessageStage> | ENTRY CommunicationGroup:InitialTopoReduce:(ControllerTask,0) -  CmpTask-0
2014-12-18 00:59:47,421 보다 미세 TaskNodeImpl.checkAndSendTopologySetupMessageFor SingleThreadStage<GroupCommMessageStage> | ENTRY CommunicationGroup:InitialTopoReduce:(ControllerTask,0) -  CmpTask-0
2014-12-18 00:59:47,421 보다 미세 TaskNodeImpl.findTask SingleThreadStage<GroupCommMessageStage> | ENTRY CommunicationGroup:InitialTopoReduce:(ControllerTask,0) -  CmpTask-0
2014-12-18 00:59:47,422 보다 미세 TaskNodeImpl.findChildTask SingleThreadStage<GroupCommMessageStage> | ENTRY CommunicationGroup:InitialTopoReduce:(ControllerTask,0) -  CmpTask-0
2014-12-18 00:59:47,422 보다 미세 TaskNodeImpl.findChildTask SingleThreadStage<GroupCommMessageStage> | RETURN CommunicationGroup:InitialTopoReduce:(ControllerTask,0) - (CmpTask-0,0)
2014-12-18 00:59:47,422 보다 미세 TaskNodeImpl.findTask SingleThreadStage<GroupCommMessageStage> | RETURN CommunicationGroup:InitialTopoReduce:(ControllerTask,0) - (CmpTask-0,0)
2014-12-18 00:59:47,423 보다 미세 TaskNodeImpl.checkAndSendTopologySetupMessage SingleThreadStage<GroupCommMessageStage> | ENTRY CommunicationGroup:InitialTopoReduce:(CmpTask-0,0) - 
2014-12-18 00:59:47,423 보다 미세 TaskNodeImpl.parentActive SingleThreadStage<GroupCommMessageStage> | ENTRY CommunicationGroup:InitialTopoReduce:(CmpTask-0,0) - 
2014-12-18 00:59:47,423 보다 미세 TaskNodeImpl.isNeighborActive SingleThreadStage<GroupCommMessageStage> | ENTRY CommunicationGroup:InitialTopoReduce:(CmpTask-0,0) -  ControllerTask
2014-12-18 00:59:47,424 보다 미세 TaskNodeStatusImpl.isActive SingleThreadStage<GroupCommMessageStage> | ENTRY CommunicationGroup:InitialTopoReduce:(CmpTask-0,0) -  ControllerTask
2014-12-18 00:59:47,424 보다 미세 TaskNodeStatusImpl.isActive SingleThreadStage<GroupCommMessageStage> | RETURN CommunicationGroup:InitialTopoReduce:(CmpTask-0,0) - false
2014-12-18 00:59:47,424 보다 미세 TaskNodeImpl.isNeighborActive SingleThreadStage<GroupCommMessageStage> | RETURN CommunicationGroup:InitialTopoReduce:(CmpTask-0,0) - false
2014-12-18 00:59:47,424 보다 미세 TaskNodeImpl.parentActive SingleThreadStage<GroupCommMessageStage> | RETURN CommunicationGroup:InitialTopoReduce:(CmpTask-0,0) - Neither root Nor is (ControllerTask,0) an active neghbor
2014-12-18 00:59:47,425 보다 미세 TaskNodeImpl.checkAndSendTopologySetupMessage SingleThreadStage<GroupCommMessageStage> | RETURN CommunicationGroup:InitialTopoReduce:(CmpTask-0,0) - 
2014-12-18 00:59:47,425 보다 미세 TaskNodeImpl.checkAndSendTopologySetupMessageFor SingleThreadStage<GroupCommMessageStage> | RETURN CommunicationGroup:InitialTopoReduce:(ControllerTask,0) - CmpTask-0
2014-12-18 00:59:47,425 보다 미세 TaskNodeStatusImpl.checkNeighborActiveToSendTopoSetup SingleThreadStage<GroupCommMessageStage> | RETURN CommunicationGroup:InitialTopoReduce:(ControllerTask,0) - CmpTask-0
2014-12-18 00:59:47,426 보다 미세 TaskNodeStatusImpl.chkAndSendTopoSetup SingleThreadStage<GroupCommMessageStage> | ENTRY CommunicationGroup:InitialTopoReduce:(ControllerTask,0) -  ChildAdd
2014-12-18 00:59:47,426 가장 미세 reef.io.network.nggroup.impl.driver.TaskNodeStatusImpl.chkIamActiveToSendTopoSetup SingleThreadStage<GroupCommMessageStage> | CommunicationGroup:InitialTopoReduce:(ControllerTask,0) - Status map non-empty{ChildAdd={CmpTask-1=1}}
2014-12-18 00:59:47,427 보다 미세 TaskNodeStatusImpl.chkAndSendTopoSetup SingleThreadStage<GroupCommMessageStage> | RETURN CommunicationGroup:InitialTopoReduce:(ControllerTask,0) - ChildAdd
2014-12-18 00:59:47,427 보다 미세 TaskNodeStatusImpl.processNeighborAcks SingleThreadStage<GroupCommMessageStage> | RETURN CommunicationGroup:InitialTopoReduce:(ControllerTask,0) - [ChildAdded from (ControllerTask,0) to (CmpTask-0,0) for CommunicationGroup:InitialTopoReduce]
2014-12-18 00:59:47,427 보다 미세 TaskNodeStatusImpl.processMsg SingleThreadStage<GroupCommMessageStage> | RETURN CommunicationGroup:InitialTopoReduce:(ControllerTask,0) - 
2014-12-18 00:59:47,428 보다 미세 TaskNodeImpl.onReceiptOfAcknowledgement SingleThreadStage<GroupCommMessageStage> | RETURN CommunicationGroup:InitialTopoReduce:(ControllerTask,0) - [ChildAdded from (ControllerTask,0) to (CmpTask-0,0) for CommunicationGroup:InitialTopoReduce]
2014-12-18 00:59:47,428 보다 미세 TreeTopology.onReceiptOfMessage SingleThreadStage<GroupCommMessageStage> | RETURN CommunicationGroup:InitialTopoReduce - [ChildAdded from (ControllerTask,0) to (CmpTask-0,0) for CommunicationGroup:InitialTopoReduce]
2014-12-18 00:59:47,428 가장 미세 reef.io.network.nggroup.impl.driver.CommunicationGroupDriverImpl.queNProcessMsg SingleThreadStage<GroupCommMessageStage> | CommunicationGroup - All msgs processed and removed
2014-12-18 00:59:47,428 보다 미세 CommunicationGroupDriverImpl.queNProcessMsg SingleThreadStage<GroupCommMessageStage> | RETURN [CommunicationGroup - , Que & Process done for: , [ChildAdded from (ControllerTask,0) to (CmpTask-0,0) for CommunicationGroup:CtrlSyncBroadcast]]
2014-12-18 00:59:47,429 가장 미세 reef.io.network.nggroup.impl.driver.CommunicationGroupDriverImpl.processMsg SingleThreadStage<GroupCommMessageStage> | CommunicationGroup - Released topologiesLock
2014-12-18 00:59:47,429 보다 미세 CommunicationGroupDriverImpl.processMsg SingleThreadStage<GroupCommMessageStage> | RETURN [CommunicationGroup - , ProcessMsg done for: , [ChildAdded from (ControllerTask,0) to (CmpTask-0,0) for CommunicationGroup:CtrlSyncBroadcast]]
2014-12-18 00:59:47,429 보다 미세 TopologyMessageHandler.onNext SingleThreadStage<GroupCommMessageStage> | RETURN [ChildAdded from (ControllerTask,0) to (CmpTask-0,0) for CommunicationGroup:CtrlSyncBroadcast]
2014-12-18 00:59:47,430 보다 미세 GroupCommMessageHandler.onNext SingleThreadStage<GroupCommMessageStage> | RETURN [ChildAdded from (ControllerTask,0) to (CmpTask-0,0) for CommunicationGroup:CtrlSyncBroadcast]
2014-12-18 00:59:47,430 보다 미세 GroupCommMessageHandler.onNext SingleThreadStage<GroupCommMessageStage> | ENTRY [ChildAdded from (ControllerTask,0) to (CmpTask-1,0) for CommunicationGroup:InitialTopoReduce]
2014-12-18 00:59:47,430 보다 미세 TopologyMessageHandler.onNext SingleThreadStage<GroupCommMessageStage> | ENTRY [ChildAdded from (ControllerTask,0) to (CmpTask-1,0) for CommunicationGroup:InitialTopoReduce]
2014-12-18 00:59:47,431 보다 미세 CommunicationGroupDriverImpl.processMsg SingleThreadStage<GroupCommMessageStage> | ENTRY CommunicationGroup -  [ChildAdded from (ControllerTask,0) to (CmpTask-1,0) for CommunicationGroup:InitialTopoReduce]
2014-12-18 00:59:47,431 가장 미세 reef.io.network.nggroup.impl.driver.CommunicationGroupDriverImpl.processMsg SingleThreadStage<GroupCommMessageStage> | CommunicationGroup - ProcessMsg: [ChildAdded from (ControllerTask,0) to (CmpTask-1,0) for CommunicationGroup:InitialTopoReduce]. Waiting to acquire topologiesLock
2014-12-18 00:59:47,432 가장 미세 reef.io.network.nggroup.impl.driver.CommunicationGroupDriverImpl.processMsg SingleThreadStage<GroupCommMessageStage> | CommunicationGroup - Acquired topologiesLock
2014-12-18 00:59:47,432 보다 미세 CommunicationGroupDriverImpl.isMsgVersionOk SingleThreadStage<GroupCommMessageStage> | ENTRY CommunicationGroup -  [ChildAdded from (ControllerTask,0) to (CmpTask-1,0) for CommunicationGroup:InitialTopoReduce]
2014-12-18 00:59:47,432 보다 미세 TreeTopology.getNodeVersion SingleThreadStage<GroupCommMessageStage> | ENTRY CommunicationGroup:InitialTopoReduce -  ControllerTask
2014-12-18 00:59:47,433 보다 미세 TreeTopology.getNodeVersion SingleThreadStage<GroupCommMessageStage> | RETURN CommunicationGroup:InitialTopoReduce -  ControllerTask 0
2014-12-18 00:59:47,433 보다 미세 CommunicationGroupDriverImpl.isMsgVersionOk SingleThreadStage<GroupCommMessageStage> | RETURN [true, CommunicationGroup - , [ChildAdded from (ControllerTask,0) to (CmpTask-1,0) for CommunicationGroup:InitialTopoReduce]]
2014-12-18 00:59:47,433 보다 미세 CommunicationGroupDriverImpl.queNProcessMsg SingleThreadStage<GroupCommMessageStage> | ENTRY CommunicationGroup -  [ChildAdded from (ControllerTask,0) to (CmpTask-1,0) for CommunicationGroup:InitialTopoReduce]
2014-12-18 00:59:47,434 가장 미세 reef.io.network.nggroup.impl.driver.CommunicationGroupDriverImpl.queNProcessMsg SingleThreadStage<GroupCommMessageStage> | CommunicationGroup - Adding msg to que
2014-12-18 00:59:47,434 보다 미세 CommunicationGroupDriverImpl.queNProcessMsg SingleThreadStage<GroupCommMessageStage> | RETURN [CommunicationGroup - , Que & Process done for: , [ChildAdded from (ControllerTask,0) to (CmpTask-1,0) for CommunicationGroup:InitialTopoReduce]]
2014-12-18 00:59:47,434 가장 미세 reef.io.network.nggroup.impl.driver.CommunicationGroupDriverImpl.processMsg SingleThreadStage<GroupCommMessageStage> | CommunicationGroup - Released topologiesLock
2014-12-18 00:59:47,435 보다 미세 CommunicationGroupDriverImpl.processMsg SingleThreadStage<GroupCommMessageStage> | RETURN [CommunicationGroup - , ProcessMsg done for: , [ChildAdded from (ControllerTask,0) to (CmpTask-1,0) for CommunicationGroup:InitialTopoReduce]]
2014-12-18 00:59:47,435 보다 미세 TopologyMessageHandler.onNext SingleThreadStage<GroupCommMessageStage> | RETURN [ChildAdded from (ControllerTask,0) to (CmpTask-1,0) for CommunicationGroup:InitialTopoReduce]
2014-12-18 00:59:47,435 보다 미세 GroupCommMessageHandler.onNext SingleThreadStage<GroupCommMessageStage> | RETURN [ChildAdded from (ControllerTask,0) to (CmpTask-1,0) for CommunicationGroup:InitialTopoReduce]
2014-12-18 00:59:48,163 정보 reef.io.network.naming.NameLookupClient.remoteLookup SrcCtrlMsgSender-pool-16-thread-1 | Looking up CmpTask-0 on NameServer /192.168.0.11:10460
2014-12-18 00:59:48,165 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.open SrcCtrlMsgSender-pool-16-thread-1 | Link localAddr: /192.168.0.11:37928 remoteAddr: /192.168.0.11:10460 for /192.168.0.11:10460 found
2014-12-18 00:59:48,165 가장 미세 reef.wake.remote.transport.netty.NettyLink.write SrcCtrlMsgSender-pool-16-thread-1 | write [id: 0xc2aaf63e, /192.168.0.11:37928 => /192.168.0.11:10460] org.apache.reef.io.network.naming.serialization.NamingLookupRequest@292cdf90
2014-12-18 00:59:48,167 가장 미세 reef.wake.remote.transport.netty.AbstractNettyEventListener.channelRead org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportServerWorker-pool-8-thread-1 | MessageEvent: local: /192.168.0.11:10460 remote: /192.168.0.11:37928 :: [B@41097c0e
2014-12-18 00:59:48,169 미세 reef.io.network.naming.NameServer.lookup org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportServerWorker-pool-8-thread-1 | identifiers
2014-12-18 00:59:48,169 가장 미세 reef.io.network.naming.NameServer.lookup org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportServerWorker-pool-8-thread-1 | id : CmpTask-0 addr: 192.168.0.11/192.168.0.11:15969
2014-12-18 00:59:48,170 가장 미세 reef.wake.remote.transport.netty.NettyLink.write org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportServerWorker-pool-8-thread-1 | write [id: 0xf2682514, /192.168.0.11:37928 => /192.168.0.11:10460] [B@55af9c7d
2014-12-18 00:59:48,171 가장 미세 reef.wake.remote.transport.netty.AbstractNettyEventListener.channelRead org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportClientWorker-pool-15-thread-1 | MessageEvent: local: /192.168.0.11:37928 remote: /192.168.0.11:10460 :: [B@7c4afe7d
2014-12-18 00:59:48,172 미세 reef.io.network.naming.NamingClientEventHandler.onNext org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportClientWorker-pool-15-thread-1 | Transport: 
2014-12-18 00:59:48,173 미세 reef.io.network.impl.NSConnection.open SrcCtrlMsgSender-pool-16-thread-3 | Resolved CmpTask-0 to /192.168.0.11:15969
2014-12-18 00:59:48,174 미세 reef.io.network.impl.NSConnection.open SrcCtrlMsgSender-pool-16-thread-5 | Resolved CmpTask-0 to /192.168.0.11:15969
2014-12-18 00:59:48,174 미세 reef.io.network.impl.NSConnection.open SrcCtrlMsgSender-pool-16-thread-1 | Resolved CmpTask-0 to /192.168.0.11:15969
2014-12-18 00:59:48,175 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.open SrcCtrlMsgSender-pool-16-thread-5 | No cached link for /192.168.0.11:15969 thread Thread[SrcCtrlMsgSender-pool-16-thread-5,5,main]
2014-12-18 00:59:48,175 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.open SrcCtrlMsgSender-pool-16-thread-3 | No cached link for /192.168.0.11:15969 thread Thread[SrcCtrlMsgSender-pool-16-thread-3,5,main]
2014-12-18 00:59:48,176 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.open SrcCtrlMsgSender-pool-16-thread-1 | No cached link for /192.168.0.11:15969 thread Thread[SrcCtrlMsgSender-pool-16-thread-1,5,main]
2014-12-18 00:59:48,182 미세 reef.io.network.impl.NSConnection.open SrcCtrlMsgSender-pool-16-thread-5 | Transport returned a link localAddr: /192.168.0.11:42117 remoteAddr: /192.168.0.11:15969
2014-12-18 00:59:48,182 가장 미세 reef.wake.remote.transport.netty.NettyClientEventListener.channelActive org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportClientWorker-pool-12-thread-2 | io.netty.channel.DefaultChannelHandlerContext@4f09f8b4
2014-12-18 00:59:48,183 미세 reef.io.network.impl.NSConnection.open SrcCtrlMsgSender-pool-16-thread-3 | Transport returned a link localAddr: /192.168.0.11:42117 remoteAddr: /192.168.0.11:15969
2014-12-18 00:59:48,184 미세 reef.io.network.impl.NSConnection.open SrcCtrlMsgSender-pool-16-thread-1 | Transport returned a link localAddr: /192.168.0.11:42117 remoteAddr: /192.168.0.11:15969
2014-12-18 00:59:48,185 가장 미세 reef.wake.remote.transport.netty.NettyLink.write SrcCtrlMsgSender-pool-16-thread-1 | write [id: 0xf0fad7b7, /192.168.0.11:42117 => /192.168.0.11:15969] org.apache.reef.io.network.impl.NSMessage@5868f6a9
2014-12-18 00:59:48,187 가장 미세 reef.wake.remote.transport.netty.NettyLink.write SrcCtrlMsgSender-pool-16-thread-5 | write [id: 0xf0fad7b7, /192.168.0.11:42117 => /192.168.0.11:15969] org.apache.reef.io.network.impl.NSMessage@5319fe97
2014-12-18 00:59:48,188 보다 미세 CtrlMsgSender.onNext SrcCtrlMsgSender-pool-16-thread-5 | RETURN [ParentAdd from (ControllerTask,0) to (CmpTask-0,0) for CommunicationGroup:MessageVectorReduce]
2014-12-18 00:59:48,188 보다 미세 CtrlMsgSender.onNext SrcCtrlMsgSender-pool-16-thread-5 | ENTRY [ChildAdd from (CmpTask-1,0) to (ControllerTask,0) for CommunicationGroup:CtrlSyncBroadcast]
2014-12-18 00:59:48,189 미세 reef.io.network.impl.NSConnection.open SrcCtrlMsgSender-pool-16-thread-5 | looking up ControllerTask
2014-12-18 00:59:48,189 미세 reef.io.network.impl.NSConnection.open SrcCtrlMsgSender-pool-16-thread-5 | Resolved ControllerTask to /192.168.0.11:14313
2014-12-18 00:59:48,190 보다 미세 CtrlMsgSender.onNext SrcCtrlMsgSender-pool-16-thread-1 | RETURN [ParentAdd from (ControllerTask,0) to (CmpTask-0,0) for CommunicationGroup:InitialTopoReduce]
2014-12-18 00:59:48,191 가장 미세 reef.wake.remote.transport.netty.NettyLink.write SrcCtrlMsgSender-pool-16-thread-3 | write [id: 0xf0fad7b7, /192.168.0.11:42117 => /192.168.0.11:15969] org.apache.reef.io.network.impl.NSMessage@4f999620
2014-12-18 00:59:48,191 보다 미세 CtrlMsgSender.onNext SrcCtrlMsgSender-pool-16-thread-1 | ENTRY [ParentAdd from (ControllerTask,0) to (CmpTask-1,0) for CommunicationGroup:MessageVectorReduce]
2014-12-18 00:59:48,192 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.open SrcCtrlMsgSender-pool-16-thread-5 | Link localAddr: /192.168.0.11:55201 remoteAddr: /192.168.0.11:14313 for /192.168.0.11:14313 found
2014-12-18 00:59:48,192 미세 reef.io.network.impl.NSConnection.open SrcCtrlMsgSender-pool-16-thread-5 | Transport returned a link localAddr: /192.168.0.11:55201 remoteAddr: /192.168.0.11:14313
2014-12-18 00:59:48,193 미세 reef.io.network.impl.NSConnection.open SrcCtrlMsgSender-pool-16-thread-1 | looking up CmpTask-1
2014-12-18 00:59:48,194 보다 미세 CtrlMsgSender.onNext SrcCtrlMsgSender-pool-16-thread-3 | RETURN [ParentAdd from (ControllerTask,0) to (CmpTask-0,0) for CommunicationGroup:CtrlSyncBroadcast]
2014-12-18 00:59:48,194 가장 미세 reef.wake.remote.transport.netty.NettyLink.write SrcCtrlMsgSender-pool-16-thread-5 | write [id: 0x0717caca, /192.168.0.11:55201 => /192.168.0.11:14313] org.apache.reef.io.network.impl.NSMessage@44d20052
2014-12-18 00:59:48,195 보다 미세 CtrlMsgSender.onNext SrcCtrlMsgSender-pool-16-thread-3 | ENTRY [ChildAdd from (CmpTask-1,0) to (ControllerTask,0) for CommunicationGroup:MessageVectorReduce]
2014-12-18 00:59:48,195 보다 미세 CtrlMsgSender.onNext SrcCtrlMsgSender-pool-16-thread-5 | RETURN [ChildAdd from (CmpTask-1,0) to (ControllerTask,0) for CommunicationGroup:CtrlSyncBroadcast]
2014-12-18 00:59:48,195 미세 reef.io.network.impl.NSConnection.open SrcCtrlMsgSender-pool-16-thread-3 | looking up ControllerTask
2014-12-18 00:59:48,196 미세 reef.io.network.impl.NSConnection.open SrcCtrlMsgSender-pool-16-thread-3 | Resolved ControllerTask to /192.168.0.11:14313
2014-12-18 00:59:48,196 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.open SrcCtrlMsgSender-pool-16-thread-3 | Link localAddr: /192.168.0.11:55201 remoteAddr: /192.168.0.11:14313 for /192.168.0.11:14313 found
2014-12-18 00:59:48,197 미세 reef.io.network.impl.NSConnection.open SrcCtrlMsgSender-pool-16-thread-3 | Transport returned a link localAddr: /192.168.0.11:55201 remoteAddr: /192.168.0.11:14313
2014-12-18 00:59:48,197 가장 미세 reef.wake.remote.transport.netty.NettyLink.write SrcCtrlMsgSender-pool-16-thread-3 | write [id: 0x0717caca, /192.168.0.11:55201 => /192.168.0.11:14313] org.apache.reef.io.network.impl.NSMessage@37132aca
2014-12-18 00:59:48,198 보다 미세 CtrlMsgSender.onNext SrcCtrlMsgSender-pool-16-thread-3 | RETURN [ChildAdd from (CmpTask-1,0) to (ControllerTask,0) for CommunicationGroup:MessageVectorReduce]
2014-12-18 00:59:48,229 가장 미세 reef.wake.remote.transport.netty.AbstractNettyEventListener.channelRead org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportServerWorker-pool-11-thread-1 | MessageEvent: local: /192.168.0.11:14644 remote: /192.168.0.11:45372 :: [B@4b5e5005
2014-12-18 00:59:48,230 보다 미세 GroupCommMessageHandler.onNext SingleThreadStage<GroupCommMessageStage> | ENTRY [ChildAdded from (ControllerTask,0) to (CmpTask-1,0) for CommunicationGroup:CtrlSyncBroadcast]
2014-12-18 00:59:48,231 보다 미세 TopologyMessageHandler.onNext SingleThreadStage<GroupCommMessageStage> | ENTRY [ChildAdded from (ControllerTask,0) to (CmpTask-1,0) for CommunicationGroup:CtrlSyncBroadcast]
2014-12-18 00:59:48,231 보다 미세 CommunicationGroupDriverImpl.processMsg SingleThreadStage<GroupCommMessageStage> | ENTRY CommunicationGroup -  [ChildAdded from (ControllerTask,0) to (CmpTask-1,0) for CommunicationGroup:CtrlSyncBroadcast]
2014-12-18 00:59:48,232 가장 미세 reef.io.network.nggroup.impl.driver.CommunicationGroupDriverImpl.processMsg SingleThreadStage<GroupCommMessageStage> | CommunicationGroup - ProcessMsg: [ChildAdded from (ControllerTask,0) to (CmpTask-1,0) for CommunicationGroup:CtrlSyncBroadcast]. Waiting to acquire topologiesLock
2014-12-18 00:59:48,232 가장 미세 reef.io.network.nggroup.impl.driver.CommunicationGroupDriverImpl.processMsg SingleThreadStage<GroupCommMessageStage> | CommunicationGroup - Acquired topologiesLock
2014-12-18 00:59:48,233 보다 미세 CommunicationGroupDriverImpl.isMsgVersionOk SingleThreadStage<GroupCommMessageStage> | ENTRY CommunicationGroup -  [ChildAdded from (ControllerTask,0) to (CmpTask-1,0) for CommunicationGroup:CtrlSyncBroadcast]
2014-12-18 00:59:48,233 보다 미세 TreeTopology.getNodeVersion SingleThreadStage<GroupCommMessageStage> | ENTRY CommunicationGroup:CtrlSyncBroadcast -  ControllerTask
